Startup_Name,Funding_Amount,Break_Even_Point,TRL_Level,Number_of_Employees,Investors,Growth_Rate,Industry,Revenue,Marketing_Spend,Administration_Cost,Startup_Category,R&D_Spend,Innovation_Score,Market_Competition,Customer_Growth,Burn_Rate,Founder_Experience,Customer_Satisfaction,Company_Valuation,Employee_Retention_Rate,Monthly_Active_Users,Patent_Count,Global_Presence,Startup_Status
Mccarthy Inc,28581022.45967434,20,8,186,Google Ventures,89.27463399909057,SaaS,30243567.35218364,6319742.61,1887871.9,B2B2C,9706716.160234641,63.619654964160446,5.234082546972175,75.32688225261218,-2174.657706327198,10.559248879612738,4.675177490296541,538853076.5507979,84.87204985080395,106862.89099759603,6.645147108238413,1.4104674157486707,Successful
"Rivera, Martinez and Richardson",4020761.1412999933,56,3,4,Google Ventures,51.07305487619216,FinTech,801784.7256475696,163994.75,66772.03,DeepTech,-178062.68568257874,34.47290065208507,6.883370234602968,-15.589296666613517,252952.125141961,5.982154726902532,3.212920052627745,12113642.346491821,40.73130629909323,65937.62193233988,0.11700447627412966,,Failed
Gregory-Watkins,3705180.0365935937,15,7,8,Accel,19.153730228722317,Biotech,88340.71361992776,221834.86,153643.03,SaaS,-211300.86716237094,64.26648509342756,4.680738303172319,35.247665535236536,66547.3523600599,3.7904704965980156,3.918239382309425,53409245.98494433,85.24440367890247,84027.38735177637,0.9961913915948012,4.618046367785927,Moderate
Hill Inc,9312161.188028928,17,8,34,Kalaari Capital,69.6414036031962,HealthTech,19342366.473549023,1834445.55,1491698.02,SaaS,1243414.3375290558,69.44778958011396,5.190493952370249,38.67958614095861,364452.513420585,15.705194316622684,4.261059114001193,156638358.6997087,87.78978199958952,384007.3406136498,7.646099103078603,6.303782789479054,Successful
Brock-Mcdonald,5151837.546446506,35,7,44,Kalaari Capital,4.7586175943801425,Biotech,920523.3584664908,452607.98,456938.05,Marketplace,-470296.72710010497,73.52880865648591,6.92452117665495,23.412913960384504,329949.6044569375,8.785596422261937,4.313636586381915,69729800.81212537,66.48935440804836,105567.35522782657,3.2098533636502005,32.71122342831597,Moderate
Stewart Ltd,10253510.036646446,17,7,61,Tiger Global,78.56320644524615,AgriTech,7255176.732658482,1852757.6,1647789.57,DeepTech,5469628.211435992,86.66875662857677,3.1711726869412518,49.17932541095223,190457.73569105504,7.530994155364674,4.71096886996859,125551225.08396609,90.32753434427472,229517.30982864852,8.18836375121964,5.945839811152564,Successful
Ortiz Ltd,42770139.38716246,23,7,43,Accel,60.99163442074,Cybersecurity,62414540.44777416,6011651.31,5264631.83,B2B,6614116.563711149,78.24043581449412,1.478376476259363,61.2466481511516,51876.46930335635,8.562749887137825,4.8152561686162,670155279.944689,83.35277696868175,1261576.106727248,5.195691909218979,45.88294075327312,Successful
"James, Stewart and Higgins",8877628.188298646,34,1,18,Tiger Global,24.859987894625412,Cybersecurity,12453483.54746887,1129292.96,1051276.23,DeepTech,1730261.7529223615,82.83930270532905,2.97033186890305,49.15477689461569,530216.2116969208,3.52881623635764,3.6135231967295485,66155507.8312885,58.34445519473934,74882.06393470376,6.626280016705819,,Moderate
"Thomas, Murray and King",8336378.07307938,31,4,114,Google Ventures,22.750156454771876,HealthTech,5372005.669011887,1185987.59,497612.89,D2C,376151.9991743248,53.94711028035896,6.416604391089619,30.891088609200818,305285.0796129494,3.0003561849060807,4.497216944297918,45489555.97575462,66.74985548805623,-81608.45191442629,10.498274277137336,13.816171702221622,Moderate
Hayes and Sons,716302.0195965869,40,3,25,Accel,43.99440085985956,HealthTech,900579.4559423238,268089.74,189012.45,B2B,111975.73071481498,65.38105013970193,5.042882303736058,16.773318408061616,247810.08025844477,10.592451683004278,4.295743958153459,10617299.435370067,65.4006015423158,15560.816880642567,4.190063047233743,15.406018773120289,Failed
"Gray, Hall and Murray",1452789.4185553044,59,3,14,Kalaari Capital,-14.737711627748904,FinTech,-493551.7638417871,62456.31,49382.48,D2C,14032.456403232041,41.551865849550005,6.806547256145366,-23.747840159491194,186439.62902516473,4.24739863463968,2.673804588455694,-16206808.171267029,44.65268026981513,18733.49157614629,-0.7994806291410519,5.447587380880696,Failed
Harvey PLC,1919983.7219660622,38,6,29,Tiger Global,22.824843761074135,E-Commerce,-1200557.181243727,128263.12,262021.53,B2C,621502.6435820234,53.09565040813581,2.8786193117764634,31.72703253749195,314398.9836643596,0.8508973451588674,3.680737423680507,4907969.270000619,62.627938451184505,58250.95474541693,1.0677881522390174,6.413388128992465,Moderate
Christensen PLC,41195400.41060971,28,6,89,Sequoia Capital,85.2252426750307,FinTech,73261343.34463744,9116341.76,2593427.09,B2B,10597133.722264633,80.94077648134659,4.860229807356803,26.08535807661095,328982.1236377182,11.55876547631977,4.661567468165811,555757706.5917068,78.40550927199565,55627.755849955036,5.463771347591078,58.498409595280755,Successful
Jones Inc,24508191.897161033,30,8,67,Y Combinator,90.38074355783617,Gaming,20203328.069677062,4650647.19,1691316.56,SaaS,6383025.8993562935,69.38439206413749,6.000922845469231,64.81649822714319,173692.8513473341,11.980155149278893,4.301832671815019,424151703.7214758,75.84618384942779,594116.0137908023,6.947356767356026,29.696618455386815,Successful
Fox-Edwards,3484812.3981766775,63,4,18,SoftBank,9.324971895137196,Gaming,-94436.76814600365,23165.15,30165.43,SaaS,554287.7062676721,56.3016551722854,8.059327815820273,-17.799009007744786,2160932.0186032946,6.989602553126886,2.57303286168371,-38128074.21665978,80.67454381278384,-44545.49891329841,0.4994338391489015,6.8182632480299725,Failed
"Khan, Pena and Ruiz",-1364962.8539988885,14,1,4,Tiger Global,-12.715048923626984,AI,3275311.268358012,97666.69,68182.37,Marketplace,656121.6100255083,53.905762055860485,8.766423594778672,-8.344424425357792,363446.4471878095,0.6702746889538136,4.237672854713942,-5299124.954579782,61.48894366248852,-19817.44849244002,1.053034262120544,-0.658229327453385,Successful
"Henderson, Cox and Cox",1942676.4115035986,38,8,33,Tiger Global,44.299220399092576,FinTech,591420.492575191,97981.51,78019.71,B2C,1105199.2155438561,52.32024986112861,5.771535563110076,-5.008463189294583,310036.316150399,6.436753028176052,3.5011055981182806,668761.1300675347,63.423666222168954,150161.42703793864,3.440432180126159,8.529240576713116,Moderate
Parker-Morrison,-540624.3765817252,45,3,8,Google Ventures,7.686325751823961,FinTech,3204983.603723972,98204.61,247329.1,SaaS,-499264.01356705563,52.49788902139632,7.1944696493402525,-27.985624629386624,187043.29710649903,4.062109047112872,3.3521534398347193,-11234844.30358049,62.38909534420583,-27682.890338958437,0.22070732676035118,3.6791090826935653,Failed
Mcdowell-Smith,-475531.25005554716,92,4,9,Andreessen Horowitz,6.388608241635417,Gaming,-261733.38362007088,103824.49,37291.76,DeepTech,-313081.20658177615,34.02684263583029,5.612799073048374,16.710970190048815,629040.7873373664,8.142837439332705,3.2017371606762954,-18675985.16169002,48.29000892425083,66463.04189486073,2.4123613294504263,1.9612184943124995,Failed
Kelly-Norman,-1004462.8474851743,25,2,7,SoftBank,-19.805904218680762,Cybersecurity,-2574026.7523766756,,62865.84,SaaS,-55956.1300091069,56.99113895547746,7.389534019792973,4.439464001029182,771935.8080685401,0.2763846133104648,2.0201319915957705,47196548.495035365,45.90217807975133,-32268.750313258002,0.0746051063747502,-2.1710057558755684,Failed
Henry Group,1056985.71126782,28,5,15,Kalaari Capital,16.982583443041406,EdTech,1075684.3940908678,916294.84,413595.62,D2C,-312788.7867400779,67.99908985829201,3.2707027852618324,22.468384414271007,48870.95212290139,4.2542928403052755,3.425145799745925,-8671913.824906517,51.128933874794086,26003.92710462348,6.073428705933654,10.178779267032489,Moderate
Crosby-Ramirez,4545824.283437989,16,7,44,Tiger Global,45.22982950415025,Biotech,578805.3465603603,497086.42,194970.56,DeepTech,791107.8736505983,54.8439471931619,2.070166315646262,,899172.4970881981,4.911818402220506,2.8669877918245645,9618402.818185396,67.18489279635786,291260.6197831045,2.3790927911905126,14.25829844378496,Moderate
Edwards Ltd,4676525.786366767,49,3,3,Andreessen Horowitz,-21.999296027333017,SaaS,-1094118.2131805583,277066.59,425278.48,SaaS,673631.1424825927,45.58525834839381,4.809883688900367,-20.997433718708333,497930.05976198,2.2483591478178364,2.927715783549635,-25813919.287293233,57.76262236837699,-776.0768688107191,0.3876959683799137,3.366884117956812,Failed
Brennan-Johnson,-124901.86197260383,54,7,61,Sequoia Capital,16.142659960614388,HealthTech,-3495718.347601704,106783.25,53626.09,Marketplace,-56348.14772629648,67.24858911872658,6.163345336750098,-15.960786515799638,136009.86843533782,7.096189234030132,3.7135679507880055,26878662.075793236,74.5973151430612,25809.306227406414,5.7042238339343525,11.678642974331037,Moderate
Garcia-Lozano,8055842.191414299,17,7,62,Sequoia Capital,64.32643040699769,SaaS,-904083.673142137,1078760.03,1124411.9,B2B,1012788.5963794887,51.40620857602874,6.476404780564708,1.1546565359288579,96734.7048816671,15.075507717921205,4.464437844047273,2294579.559360955,68.76446822846978,98368.14116983261,8.500618361247485,21.59307958349817,Moderate
"Turner, Ortiz and Taylor",3759651.2202900625,28,4,84,Accel,44.80895186696371,Biotech,2704442.3690403276,95300.99,145858.56,B2C,-400092.79370559286,67.96602737321525,6.618018056627551,33.016025432187,993231.577514427,10.862318807877978,3.3137238107969065,-60947626.390775,75.39515205285208,43829.59890919989,4.416271540621721,22.556361817988407,Moderate
Young-Martinez,8107605.845910018,20,8,297,Sequoia Capital,53.54884478943081,FinTech,2890916.107423785,548748.8,315265.17,SaaS,900847.6986873858,60.464646105063885,4.363582448726621,26.805448618924288,588964.4737393057,9.346584976281402,3.5316425254262582,45819272.53387672,62.12531800230694,42521.77897845679,5.81382418172683,24.327404804245067,Moderate
Jones Inc,11567736.047691952,17,9,158,Andreessen Horowitz,50.03205952917786,Biotech,10489991.28913752,1704794.57,1042661.77,B2B2C,3062224.3416578243,66.0980799145016,6.848924475817155,40.99603513796626,381181.86524576024,8.643453038914442,4.95383352617407,92065681.63078055,88.0174721040024,101671.56113992695,6.530392526586206,41.70098092332052,Successful
Johnston-Hines,521589.3986501917,22,5,7,Y Combinator,72.55884112520634,AI,1403690.3074962373,445600.98,257058.36,B2B,363683.7541462338,65.46677085053211,8.759601120195976,30.372933934237324,156117.3051574517,1.3273786150069715,3.9838732584607217,48856652.93219064,67.22296367398921,37889.37991501386,3.1591336941174255,19.535737890028585,Moderate
Wilson-Jones,4050532.5125910304,17,8,21,Tiger Global,48.36213531587781,EdTech,935618.0450072617,756437.75,156569.13,B2B2C,1051300.26887915,85.71466770352013,5.251061252135506,42.383455673886004,320389.27392528334,2.9668780322141677,4.816055045482188,82794901.53227635,73.6940687028068,19425.96492263082,11.52364521194475,2.541944752713695,Successful
"Carroll, Sullivan and Bass",13335410.29173477,17,6,77,Google Ventures,112.20074224084406,FinTech,14050398.519983092,2389818.09,1126269.25,Marketplace,3919013.3674915736,76.51379033370907,2.1704926139979186,60.33573939412231,447467.5904114299,10.561955708152736,3.854887664841424,221199739.3961837,87.62782626805092,72547.4797053555,4.514963734331789,22.372901771590946,Successful
Mcdonald-Bird,3473977.038152571,79,2,9,Andreessen Horowitz,-7.973427031233138,EdTech,-3802736.892111083,765023.19,210573.98,SaaS,-640324.930724728,37.77094950219132,9.367929350309408,6.995533294192559,532857.220297849,0.30808055281372754,3.4568773311016496,13767002.662656464,39.78697554958773,-27705.913695317555,-1.028843995280218,5.499060311644598,Failed
"Lewis, Kennedy and Santana",53533805.06485091,19,6,36,Tiger Global,88.5398467179676,AgriTech,82821434.78776433,10765419.97,6107591.14,B2B2C,15901069.606847119,62.931665115694294,1.5457536134723053,57.34716196915703,283964.5958069318,5.630799953014398,4.048446131318529,380136742.55191207,86.30478737703235,145393.71660605553,6.6301744907416715,,Successful
Johnson-Doyle,18351618.459050268,12,8,57,Accel,41.324689153730944,EdTech,21192145.6206999,3270035.84,1233638.65,SaaS,5353614.802860722,74.874610117067,2.8649497225580864,48.06554348302258,181923.97268779227,6.973191622651246,3.7067173749620355,251083811.5207085,78.70808629819206,138784.66154238378,8.867343596349034,22.034567223623192,Successful
"Gould, Marshall and Scott",32371216.20816289,31,7,266,Y Combinator,99.1429394608449,AgriTech,55577925.96493766,7888713.97,2795898.53,B2B,10946644.754841182,92.7934775030646,5.443818280098182,17.11159099281884,178985.2369748287,16.698282370806414,3.9826159565477504,613283346.6082363,90.53115534372601,84705.35826495939,5.928834395868951,40.043851918269695,Successful
Hayes LLC,7351130.244871895,38,4,23,Andreessen Horowitz,3.455648181414203,Cybersecurity,995536.2358400461,1081645.5,208409.67,DeepTech,533786.2390826864,66.85309773470412,5.437036103680981,27.340779423713457,1380108.9886093056,19.116422322305226,3.3665391407805823,12204959.854351617,54.656730413549944,-269.1571118364518,7.373386212904303,10.191241967600416,Moderate
Anderson-Wood,1859988.5749889212,73,5,23,Sequoia Capital,-5.248006991175029,AgriTech,-3563802.644607931,49605.65,20759.22,DeepTech,-286587.5605536487,56.952379575920126,6.537211748618604,-14.856101954263822,379550.6130242237,0.043673907073390916,2.2234992622129646,1324013.3105069972,47.10394031120694,-11988.846243922268,1.4743613471487427,0.2529454093370016,Failed
Mendez and Sons,1564686.370514898,30,4,23,Google Ventures,6.480841153743503,FinTech,1640232.7520662607,373380.22,143991.39,SaaS,709978.8045313167,64.67165634775063,6.01150541404575,5.486090343057879,533545.5207427487,4.817561846868133,3.4626913481941304,11911896.188099103,58.015572710876924,31846.539907879756,3.8486452100974686,21.58033996095343,Moderate
"Hernandez, Cole and Watson",2988025.9597481024,44,4,15,Sequoia Capital,15.08440441983685,EdTech,-796872.0463412472,92655.57,90142.0,SaaS,111198.7536843099,54.5416074838345,8.56081746857367,-8.43144541014875,519439.01710852596,5.363660757270878,3.4758693854864426,-4918241.233587526,72.96562888459266,3660.1747239556917,-0.21220172553964997,5.881613444316188,Failed
"Bentley, Byrd and Orr",36978495.06290523,12,6,68,Sequoia Capital,105.28879693079061,Biotech,25823605.662723515,7762707.52,3114334.55,DeepTech,10071730.16566188,72.13461937330084,3.8642778380011866,26.69714132468212,501633.43854459166,5.746041333195484,4.572719161702269,261672968.2116493,83.5490571156424,-32954.566501107656,9.479905925458535,40.99031292270131,Failed
Curry Inc,17114646.94248658,16,8,230,Kalaari Capital,86.39224220669243,Biotech,13580071.0440829,3239950.32,1154751.11,B2C,2035744.5783378324,78.06390663805878,5.306555785675905,60.95071470568513,139521.4418847369,20.582345159404106,4.2336025063300875,114098686.60498627,83.55184327943657,67338.47043041386,4.221796840071965,-1.938695156947296,Successful
Henderson-Bernard,15201535.308822647,32,6,35,Accel,99.83032363880923,AI,18278161.27889804,1231750.37,919840.87,Marketplace,6217066.882722958,85.84407135696556,1.7144524932942504,66.16201543566284,76337.8551915925,11.872027822902222,4.275770639157994,259623768.0141067,96.18849233499031,62040.58004332867,9.935146628134666,0.9099843393480022,Successful
Roberts-Landry,85636681.75744015,29,6,19,Google Ventures,23.321252885315175,FinTech,1169200.3767596532,100742.55,88655.75,B2B,-84787.35846412946,75.18696452049322,7.046335001497412,11.758436845624344,194645.3801302507,3.5585757242017317,3.004118703329605,-4646587.662954649,80.5112477764825,43730.29312798289,12.181786258997237,9.154198804886603,Moderate
"Mcmillan, Fischer and Gonzalez",5616285.663177002,62,5,5,SoftBank,-28.025525235915488,Gaming,1023213.3155361939,346300.72,415243.54,DeepTech,342962.8837357052,43.62055170428556,4.312964203282964,-28.41652529696638,819198.7755721874,6.316057873365655,4.707983670479218,53720246.61011575,53.741620889141174,-36050.73650477304,-0.09605352688477095,10.512216533007392,Moderate
Gill Ltd,2968897.56725786,39,4,43,Tiger Global,0.8496375807709278,SaaS,2213551.097976134,558495.69,473923.36,B2B2C,285778.4405854798,50.572634251840526,4.533828988862149,2.982045783394182,609687.3793506203,-0.5791561526852306,3.185852208414768,9605871.037572103,82.7237639169955,-122285.98100715014,0.5020000871896153,1.5265586385493726,Failed
Salas-Fitzgerald,21133158.78665129,39,4,18,Y Combinator,-29.04823332794313,Cybersecurity,-152598.30757765542,3997470.62,898209.63,DeepTech,920679.0200690163,36.88577714145795,8.900118928432413,-4.661772306131855,639685.3109622516,0.09966921838104102,2.0195252535841655,67883278.48605396,43.00081314666578,868298.5609054953,0.2215134182347328,-0.675969656834895,Failed
Kane-Knox,2500478.8789264206,52,3,11,Google Ventures,-14.810784594937747,Cybersecurity,306155.70328588475,209403.01,214906.02,Marketplace,284738.2740604133,32.69263214294682,7.168928437425871,-32.28352560511989,819316.7020853346,4.2188620818907685,4.126607018234728,-27230934.671044756,64.58961562051016,29350.195633890828,0.8942525031139534,3.1627300337505178,Failed
Smith and Sons,-285665.19171816984,36,4,48,Sequoia Capital,14.793571636599225,Biotech,1773145.2255935431,90017.59,23150.75,B2C,510936.46953544655,67.39826217649394,3.8950373684530364,11.335790806274755,512763.7010274964,3.863647303090971,3.0555818454687196,-16068865.506495457,51.594952289886706,90571.13082770782,4.772861019568859,18.980922632057755,Moderate
"Woods, Calhoun and Schmidt",11149113.225284016,16,6,43,Kalaari Capital,103.41437299524235,Gaming,11987625.40588332,1165152.06,655637.95,SaaS,2174836.9737740727,92.41251899646603,4.209942170799103,63.117402612517,165025.14723046907,12.671717098286932,4.048742844813782,161621594.7234579,87.54388052519491,185090.9352283224,9.16787543491078,14.923476797330384,Successful
Bryant Group,10572175.370156003,18,7,86,Y Combinator,81.20927804401913,SaaS,19676549.94334101,1749217.25,920627.58,Marketplace,5580270.687281802,81.36773809596825,1.513412963830325,53.907527793781696,189819.49329130392,14.935039107616543,4.664118327007992,184053684.82582077,88.96007471060616,97804.54959799736,7.381120705125602,40.60000285905182,Successful
Jones PLC,7494196.315123089,51,4,78,Y Combinator,49.31453844613912,E-Commerce,1792507.72557627,1455896.46,394932.55,B2B2C,-37119.572570522316,70.54067131324908,3.2160591613163247,19.068886868220694,241831.74736380082,0.689075492374434,3.895052085914213,3203949.7422324345,77.6533784520974,39980.74168751649,4.823851851510011,16.568493949335327,Moderate
"Turner, Riggs and Roman",10072103.969335238,5,5,154,Google Ventures,39.81742241193243,Cybersecurity,4274217.187501442,1127690.24,788190.56,B2C,1808485.7588682468,72.20926116223303,2.5290831988597873,59.532434910486195,437383.8802402682,9.647560839403354,4.0963026635234066,125255696.82066955,75.76766036077541,56233.48996964344,6.592536868191738,43.50157521388899,Successful
"Bartlett, Brown and Martinez",-726239.2359218439,53,1,14,Sequoia Capital,-13.139901515111417,EdTech,-97581.83732572995,,96762.11,B2B,-261485.62340710108,36.73560115850885,7.7773251541819155,-10.775083210337392,562165.2054576168,-0.8923557539135367,4.323994469857695,6459434.642012905,56.217590635662305,37777.59272386183,0.5815773471898544,4.91565320039879,Successful
Blair PLC,14450230.085888209,24,9,130,Accel,93.47584698159744,Biotech,,2420057.46,1187976.56,SaaS,4019696.7146422393,81.19693479895794,4.311478934133638,89.22993683448874,312345.5573192251,11.017517589575261,4.965732641448079,196216789.72769946,93.31918978593116,262346.999853301,6.332419897873877,20.13071008359411,Successful
"West, Henderson and Ramirez",78107949.15378757,23,7,21,Google Ventures,43.25321595221661,FinTech,99768159.34006633,13957722.09,3040015.1,Marketplace,17819236.09414557,72.32785097447206,2.8418689974150304,73.30337435821741,808637.912820163,10.414068363324775,4.979144802893887,784043666.2589676,86.13360918113386,244428.56034895295,7.117952657461992,47.731964534862236,Successful
Wilcox-Robertson,-1483193.7863811527,33,3,1,Tiger Global,-58.65433160443552,Biotech,310481.343161072,32266.68,25168.6,B2B,-78255.40284788716,35.58468571800595,7.7977492351331,-28.929394988155252,641360.8786692538,5.02163749841265,3.8738449707202327,27441126.632113323,56.870736132079465,-42853.05475704242,0.1353599897410577,2.52936954111967,Failed
Hayes Ltd,2228435.595811113,63,4,45,Google Ventures,26.188130262492134,E-Commerce,-2320619.670529496,,52763.95,B2C,-409275.08084202243,55.988273447358445,8.75379972668217,,385955.390826494,9.484714470697249,2.3667773874568745,22185634.30287603,68.81472132235066,92202.2141838588,-1.0198441622369463,2.230711208952265,Failed
Ramirez-Bean,12684677.79671722,11,9,49,Kalaari Capital,112.50959195956816,Gaming,13608102.936051965,1093491.78,2061156.07,Marketplace,4896085.612241919,65.44237237439887,3.8677480440040775,60.29382642410432,108407.59255745016,14.77225691680373,4.633383625456804,86384519.08482793,85.98894331150196,769.970353993047,5.723065714094803,14.426272171190925,Successful
Cordova Group,-2004089.715658153,29,3,11,Y Combinator,36.67016980915285,FinTech,1978134.7504821348,148618.49,100744.17,B2B,140841.48598804633,75.15748382589513,6.253111883775311,-7.057837605491607,302156.8526379025,6.359774626502246,4.186289973405231,-19204109.815955695,71.21964610086034,68746.34519779979,4.785695496246941,7.795691038744975,Moderate
Miller-Brandt,-1428010.5257337717,70,2,10,Accel,6.829765045504986,SaaS,3471480.8995029875,40560.09,62867.37,B2B2C,-554310.7099596618,42.76217925086071,8.068307998431802,-5.725752365010674,1316197.9621496606,0.2126604530359134,3.7196837187424032,11033362.992859283,40.48003681758787,86996.2384877051,0.11704163218321308,1.9447607097704478,Failed
Carlson-Cruz,13484141.547170375,24,8,101,Accel,85.47380574023856,AgriTech,26825860.077979714,3579631.6,647622.43,B2C,6064520.736962616,80.85989025095193,6.688092770944184,47.83736484128756,715994.1958945083,8.905258312853043,4.096359768097581,100540820.22290424,91.03558081563953,41234.484183965076,6.22562274007383,14.494565694075561,Successful
Edwards-Scott,3059461.6467135837,33,2,112,Accel,17.020508741760036,SaaS,35558.002192833286,193351.36,183011.35,B2B,-1285082.0044897974,50.16556796152813,4.685288658322798,34.22599943676481,437078.2014771406,9.745210455042773,4.314296438894246,42220909.80112781,77.83390732621554,-26487.905936739335,2.9463704687339547,15.42991603145872,Moderate
Jones-Fox,65009909.73335955,32,5,21,Andreessen Horowitz,0.3088820037503055,Biotech,868020.3641816832,295681.08,360214.88,D2C,-302999.35060682497,64.74467916408557,3.97606559959835,54.91629392570254,118646.98411079415,11.244599794846847,3.642072474637898,14082947.384864213,75.16912919748061,-33286.98196654134,4.8663311447878135,-2.8428784003877525,Moderate
Yu Inc,6920412.5257234,19,9,90,Accel,69.764332329476,E-Commerce,13001563.36297001,367785.54,804513.31,D2C,2091767.4943761653,73.72091083047998,3.5858412421331787,78.09726327312634,-8931.149639691313,0.9725213139514213,4.220869342729213,68366035.19582836,90.85932070703609,-69642.99468728641,10.804077430545393,21.506917374022077,Successful
"Stuart, Brooks and Vance",4028955.412507207,12,2,3,Sequoia Capital,6.309550835371104,SaaS,-1345539.9419431295,141667.23,313401.97,B2B2C,-430036.2510572638,31.76700973294607,7.410374463196531,19.90407982347721,726091.695374015,0.1791181245818908,2.6735111017109063,-28635292.5247124,54.320196413468615,69017.3101491734,-0.40677270126617804,2.764780873725555,Failed
Miller Ltd,4146811.825636152,44,1,10,Accel,8.477868868164435,AI,-1850404.1596750417,199829.51,63459.47,Marketplace,530876.962090764,57.212715239878314,7.725989880582782,0.6970541595419535,350057.76292308304,4.017066949270235,3.830649504573196,-41809360.16545891,55.28218825196219,169937.77089812473,2.3155605767158653,2.8799763198465222,Failed
King-Martinez,10763621.5569143,22,7,65,Google Ventures,103.50495821872552,FinTech,17404878.208184976,2945640.82,1553610.82,Marketplace,3190195.1351503697,81.33407526414628,3.494965557505476,53.99730357481504,341650.7843027669,6.777579395717054,4.99261574547883,63147970.378323406,83.00893470985228,192921.97573517187,6.765484155823142,26.369505427715435,Successful
Jones-Young,7542729.996465919,17,8,325,Accel,35.666325293144695,Biotech,5211386.036016546,897884.83,297904.58,B2B2C,1706711.2583793283,81.33041139669524,3.8352239848122602,53.65131251481415,388059.83397280204,11.991941290702487,4.272560248036215,75317938.46976392,82.9391877303016,97783.49629962543,6.601934477147266,27.268694461742115,Successful
"Lawson, Morris and Ramos",12200884.370630037,7,6,20,Tiger Global,55.179310732073105,E-Commerce,3945256.2162620025,894074.28,389623.82,B2C,3642440.629518718,86.80528153752203,3.4584268028130016,,59773.07941194001,7.279743477930033,4.250169304118086,68514563.37019885,95.29965475249095,80445.22935218379,6.1923827208823745,4.855106932877224,Successful
Nunez-Stephens,3318248.7510351073,35,4,7,Google Ventures,-15.956674251425179,SaaS,1083429.3886849235,74542.05,61157.87,Marketplace,751811.0112237668,29.301057651985225,8.453234285422816,27.391465938023536,663569.8697311485,-0.8425536420251551,3.46020816314608,37039645.66449556,63.439589618569535,65547.48592204445,1.3925799803522858,7.490843591632931,Failed
Garcia-Jennings,3152232.084693037,37,4,21,Google Ventures,37.633285370994265,AgriTech,1155835.7796953241,283171.49,151602.03,B2B,582813.7310731057,48.785171386296824,7.0848595688792,23.134938288913336,548247.3623228405,7.8662139526556025,3.459058286410924,19952900.181627225,70.13719774565479,20345.78799122347,3.4598830451627265,12.613870772333449,Moderate
"Mcclain, Miller and Henderson",10981614.062901553,25,8,177,Kalaari Capital,87.69782774107706,AgriTech,5827993.290810264,1513208.04,1163309.09,B2B,2286112.133879804,74.06906159620243,3.386685073099582,,393597.98221401824,9.72358751466978,3.787184945752088,94807717.66582885,91.39395546550317,720925.4018258757,5.81191313741484,9.41025979866964,Successful
"Duran, Obrien and Gibbs",5965056.608329445,30,6,654,Accel,87.75031120845297,Biotech,9713562.591737129,519165.55,505066.94,DeepTech,2432233.5462124185,80.5299859311292,5.736162562340771,53.926198461999086,303122.72018165217,3.4161026735185698,4.694764702884224,34765923.60424285,88.2251845391841,706042.8174115152,7.728189401356551,14.234589932278851,Successful
